;DADO;VALOR;VU;AREALOTE;TESTADA;PROFUND;PAVIM;TOPOGRAF;DATA;TEMPO;IA;N_PAV;RENDA;CENTENA;ANOS;E;N;BAI_LOC;ENDERECO;COMPL;FONTE;TELEFONE;ZF_NOVA;ET;NT;ET2;NT2;ETNT;D_AV
1;46;50000;165,02;303;11,9;26,5;1;3;01-set-yyyy;2,013;3;4;1498,82;1120,87;1;657332,74;6827208,3;MARIA_CÊU;RUA_OADI_MATHEUS_SILVANO;NA;CROMIXX;3442-1200;ZM2-4;0,39;0,84;0,15;0,71;0,33;1,12
2;47;70000;155,56;450;15;30;1;3;01-set-yyyy;2,013;3;4;1581,24;1077,87;1;657573,66;6827266,91;MARIA_CÊU;RUA_OTÁVIO_EDUARDO_PONCIANO;NA;PROPRIETÁRIO;3433-6251;ZM2-4;0,43;0,85;0,18;0,73;0,37;1,08
3;48;80000;177,78;450;15;30;1;3;01-set-yyyy;2,013;1;2;1479,95;1264,49;1;657459,3;6827425,02;MARIA_CÊU;RUA_OTÁVIO_EDUARDO_PONCIANO;NA;PROPRIETÁRIO;9926-0958;ZR1 - 2;0,41;0,89;0,17;0,78;0,36;1,26
4;49;70000;155,56;450;15;30;1;3;01-set-yyyy;2,013;1;2;1412,38;1335,35;1;657350,28;6827457,03;MARIA_CÊU;RUA_OTÁVIO_EDUARDO_PONCIANO;NA;BEMORAR_-_GÓES_;3431-8900;ZR1 - 2;0,39;0,89;0,15;0,79;0,35;1,34
5;50;85000;166,34;511;15;30;1;3;01-set-yyyy;2,013;1;2;1487,59;1237,32;1;657452,44;6827393,4;MARIA_CÊU;RUA_OTÁVIO_EDUARDO_PONCIANO;NA;CARSOSO;3433-9208;ZR1 - 2;0,41;0,88;0,17;0,77;0,36;1,24
6;81;80000;222,22;360;12;30;2;2;29-ago-yyyy;2,013;1;2;1528,2;1336,91;1;656494,21;6826849,79;Vila_Flores;Rua_Aparecida_Rodrigues;NA;NA;3437-0097 / 9984-;ZR1 - 2;0,25;0,77;0,06;0,59;0,19;1,34
7;92;100000;273,41;365,75;12,31;29,75;2;3;09-set-yyyy;2,013;1;2;1417,51;1410,16;1;657468;6827582;MINA_DO_MAT;ANTÔNIO_CACIATÓRIO;NA;AIDAR_MODOLON;99172025;ZR1 - 2;0,41;0,92;0,17;0,84;0,38;1,41
8;93;100000;257,2;388,8;13,55;29,7;2;3;09-set-yyyy;2,013;1;2;1417,84;1415,68;1;657475;6827590;MINA_DO_MAT;ANTÔNIO_CACIATÓRIO;NA;AIDAR_MODOLON;99172025;ZR1 - 2;0,41;0,92;0,17;0,84;0,38;1,42
9;95;75000;146,71;511,2;14,4;35,5;1;3;06-set-yyyy;2,013;1;2;1390,58;1387,52;1;657355;6827516;MARIA_CÊU;OTÁVIO_EDUARDO_PONCIANO;NA;CARDOSO;34339208/99571382;ZR1 - 2;0,39;0,9;0,15;0,82;0,35;1,39
10;96;110000;155,37;708;24;29,5;1;3;09-set-yyyy;2,013;1;2;1403,17;1661,92;1;657630;6827885;MINA_DO_MAT;TEREZA_PEREIRA_DEMETRIO;ESQ._CLARINDA_LINIOLI_DE;CELSO_SANTOS;99880880;ZR1 - 2;0,44;0,98;0,19;0,95;0,43;1,66
11;103;400000;390,82;1023,5;23;44,5;1;2;10-set-yyyy;2,013;3;4;1524,12;1114,03;1;657151;6827087;OPERÁRIA_NO;LUIZ_LAZZARIN;ESQ._COM_ANITAPOLIS;COSEVAL;34372788/91487687;ZM2-4;0,36;0,82;0,13;0,67;0,29;1,11
12;106;130000;358,62;362,5;15,5;19;1;3;03-set-yyyy;2,013;1;2;1452;572,14;1;657974;6826835;OPERÁRIA_NO;RUA_ABOLIÇÃO;NA;DUDA_IMÓVEIS;3468-7777/8447757;ZR1 - 2;0,5;0,77;0,25;0,59;0,38;0,57
13;109;150000;339,37;442;16,8;28,4;1;2;04-set-yyyy;2,013;1;2;1711,66;315,34;1;658318;6826600;OPERÁRIA_NO;ALVARO_CATÃO;NA;EMIR_SIQUEIRA;9978-7013;ZR1 - 2;0,55;0,72;0,31;0,52;0,4;0,32
14;110;120000;196,72;610;20;30,5;1;3;03-set-yyyy;2,013;1;2;1388,89;214,77;1;657904;6826464;OPERÁRIA_NO;SEBASTIÃO_HUMBERTO_PIERI;ESQ_COM_JOSÉ_ESCOTINI;GOES_IMÓVEIS;3045-3344;ZR1 - 2;0,48;0,69;0,23;0,48;0,34;0,21
15;113;75000;150,53;498,24;14,4;34,6;1;2;06-set-yyyy;2,013;1;2;1293,25;1527,52;1;657262;6827628;MARIA_CÊU;OTÁVIO_EDUARDO_PONCIANO;NA;LUIZ_GUSTAVO_GI;99220190;ZR1 - 2;0,38;0,93;0,14;0,86;0,35;1,53
16;114;70000;180,53;387,75;16,5;23,5;1;2;06-set-yyyy;2,013;1;2;1476,63;1174,63;1;657334;6827270;MARIA_CÊU;TRANQUILO_PELEGRIN;NA;LUIZ_GUSTAVO_GI;99220190;ZR1 - 2;0,39;0,85;0,15;0,73;0,33;1,17
17;115;300000;666,67;450;15;30;1;3;09-set-yyyy;2,013;3;4;1337,22;1542,57;1;657400;6827699;MINA_DO_MAT;ROD_SEBASTIÃO_TOLEDO_DOS_SA;ESQ._CLARINDA_LINIOLI_DE;MIDAR_MODOLON;99172025;ZM2-4;0,4;0,94;0,16;0,88;0,38;1,54
18;117;145000;428,68;338,25;20,5;16,5;1;2;10-set-yyyy;2,013;1;2;1619,78;821,37;1;657259;6826803;OPERÁRIA_NO;ANTÔNIO_VERDIERI;ESQ_MARTIN_AFONSO_DE_SOU;NOVA_TERRA;34442050/99983552;ZR1 - 2;0,38;0,76;0,14;0,58;0,29;0,82
19;119;90000;200;450;15;30;1;3;03-set-yyyy;2,013;1;2;1350,53;244,98;1;657920;6826498;OPERÁRIA_NO;SEBASTIÃO_HUMBERTO_PIERI;NA;PAULÃO;9994-1636;ZR1 - 2;0,49;0,7;0,24;0,49;0,34;0,24
20;122;100000;234,88;425,75;13;32,75;1;2;10-set-yyyy;2,013;3;4;1527,78;1122,93;1;657031;6827009;OPERÁRIA_NO;LUIZ_LAZZARIN;NA;PEDRO_PAULO__PA;96045433/34330201;ZM2-4;0,34;0,8;0,11;0,64;0,27;1,12
21;124;120000;420,68;285,25;14,55;19,7;1;3;06-set-yyyy;2,013;3;4;1489,8;1150,06;1;657248;6827195;MARIA_CÊU;JAGUARUNA;NA;PEDRO_PAULO_PAV;96045433/34330201;ZM2-4;0,37;0,84;0,14;0,7;0,31;1,15
22;125;75000;180,64;415,2;12;34,6;2;2;06-set-yyyy;2,013;1;2;1680,28;1219,08;1;657708;6827449;MINA_DO_MAT;BAZILIO_VALENTINI_ZILLI;NA;PEDRO_PAULO_PAV;96045433/34330201;ZR1 - 2;0,45;0,89;0,2;0,79;0,4;1,22
23;127;95000;175,93;540;15;36;1;3;09-set-yyyy;2,013;1;2;1459,24;1507,19;1;657669;6827735;MINA_DO_MAT;ODORICO_LIMAS_SOARES;NA;PILAR;34377000;ZR1 - 2;0,44;0,95;0,2;0,9;0,42;1,51
24;128;60000;128,59;466,6;15,05;31,2;1;1;06-set-yyyy;2,013;1;2;1393,33;1380,95;1;657353;6827508;MARIA_CÊU;OTÁVIO_EDUARDO_PONCIANO;NA;NA;34336251;ZR1 - 2;0,39;0,9;0,15;0,81;0,35;1,38
25;129;55000;117,27;469;15;31;1;1;06-set-yyyy;2,013;1;2;1391,11;1385,54;1;657353;6827513;MARIA_CÊU;OTÁVIO_EDUARDO_PONCIANO;NA;NA;34336251;ZR1 - 2;0,39;0,9;0,15;0,81;0,35;1,39
26;131;70000;216,12;323,9;11,1;28,65;2;2;06-set-yyyy;2,013;1;2;1559,04;1014,11;1;657074;6826905;OPERÁRIA_NO;VALDIR_PORTO_CORRREA;NA;NA;96095555;ZR1 - 2;0,35;0,78;0,12;0,61;0,27;1,01
27;134;110000;267,15;411,75;18,3;22,5;1;2;09-set-yyyy;2,013;1;2;1564,17;1017,2;1;657111;6826937;OPERÁRIA_NO;MARTIN_AFONSO_DE_SOUZA;ESQ._VALDIR_PORTO_CORREA;NA;99062487;ZR1 - 2;0,35;0,79;0,12;0,62;0,28;1,02
28;135;140000;513,67;272,55;13,8;19,75;1;2;09-set-yyyy;2,013;1;2;1563,75;1017,84;1;657106;6826934;OPERÁRIA_NO;MARTIN_AFONSO_DE_SOUZA;NA;NA;99649450;ZR1 - 2;0,35;0,79;0,12;0,62;0,28;1,02
29;136;70000;169,7;412,5;25;16,5;1;3;06-set-yyyy;2,013;1;2;1376,7;1376,61;1;657181;6827417;MARIA_CÊU;LUIZ_GONZAGA_AMANTE;ESQ_TRANQUILO_PELEGRIN;NA;99788800;ZR1 - 2;0,36;0,88;0,13;0,78;0,32;1,38
30;137;70000;169,7;412,5;16,5;25;1;3;06-set-yyyy;2,013;1;2;1380,31;1373,22;1;657166;6827405;MARIA_CÊU;LUIZ_GONZAGA_AMANTE;NA;NA;99788800;ZR1 - 2;0,36;0,88;0,13;0,78;0,32;1,37
31;138;70000;169,7;412,5;25;16,5;1;2;06-set-yyyy;2,013;1;2;1384,82;1368,2;1;657153;6827392;MARIA_CÊU;LUIZ_GONZAGA_AMANTE;ESQ._MAESTRO_DA_SILVA;NA;99788800;ZR1 - 2;0,36;0,88;0,13;0,77;0,32;1,37
32;140;60000;129,19;464,45;15;31;1;1;06-set-yyyy;2,013;1;2;1405,51;1364,73;1;657371;6827498;MARIA_CÊU;OTÁVIO_EDUARDO_PONCIANO;NA;NA;3433-6251;ZR1 - 2;0,4;0,9;0,16;0,81;0,36;1,36
33;141;230000;553,55;415,5;14,2;30,95;1;2;04-set-yyyy;2,013;1;2;1703,63;308,52;1;658318;6826593;OPERÁRIA_NO;ALVARO_CATÃO;NA;NA;8815-9199;ZR1 - 2;0,55;0,72;0,31;0,52;0,4;0,31
34;142;140000;311,11;450;15;30;1;3;03-set-yyyy;2,013;1;2;1339,39;250,09;1;657924;6826504;OPERÁRIA_NO;SEBASTIÃO_HUMBERTO_PIERI;NA;NA;9904-7604;ZR1 - 2;0,49;0,7;0,24;0,49;0,34;0,25
35;145;100000;229,89;435;15;29;2;3;01-out-yyyy;2,013;1;2;1813,4;413,85;1;657383,65;6826386,39;SANTO_ANTÔN;RUA_AMABILE_MILANEZ_SÔNEGO;NA;PILAR;3437-7000;ZR1 - 2;0,4;0,68;0,16;0,46;0,27;0,41
36;147;90000;257,14;350;14,75;23,81;2;3;01-out-yyyy;2,013;1;2;1433,95;813,61;1;656960,71;6826568,54;SANTO_ANTÔN;RUA_JOÃO_ALÍPIO_BRAZ;NA;PILAR;3437-7000;ZR1 - 2;0,33;0,71;0,11;0,51;0,23;0,81
37;148;170000;404,76;420;14;30;2;3;01-out-yyyy;2,013;1;2;1530,54;169,77;1;656928,77;6825247,06;SANTO_ANTÔN;RUA_IMIRANTE_CASAGRANDE;NA;PROPRIETÁRIO;NA;ZR1 - 2;0,32;0,45;0,1;0,2;0,14;0,17
38;149;140000;311,11;450;15;30;2;3;01-out-yyyy;2,013;1;2;1528,7;406,59;1;656967,3;6825825,34;SANTO_ANTÔN;RUA_JUVÊNCIO_BORGES_JÚNIOR;NA;PROPRIETÁRIO;NA;ZR1 - 2;0,33;0,57;0,11;0,32;0,19;0,41
39;150;130000;376,81;345;14;23;2;3;01-out-yyyy;2,013;1;2;1187;592,66;1;656836,82;6826043,74;SANTO_ANTÔN;RUA_LAGUNA;NA;PROPRIETÁRIO;NA;ZR1 - 2;0,31;0,61;0,09;0,37;0,19;0,59
40;153;145000;339,23;427,44;12;35,62;1;1;23-ago-yyyy;2,013;1;4;2442,12;880,53;1;658096,21;6827147,79;VERA_CRUZ;RUA_EUGÊNIO_DE_BONA_CASTELA;NA;CANARIM;912232726;ZR2 - 4;0,52;0,83;0,27;0,69;0,43;0,88
41;154;370000;1640,8;225,5;11;20,5;1;1;22-ago-yyyy;2,013;1;4;2444,39;982,34;1;658480,21;6827363,79;VERA_CRUZ;RUA_JOÃO_PESSOA;NA;CANARIM;91232726/91232726;ZR2 - 4;0,58;0,87;0,34;0,76;0,51;0,98
42;157;90000;237,69;378,64;15,55;24,35;2;1;27-ago-yyyy;2,013;1;2;1860,17;1381,33;1;658464,21;6827784,79;LOTE_SEIS_;RUA_SILVESTRE_SERAFIM;NA;COSEVAL;34372788;ZR1 - 2;0,58;0,96;0,33;0,92;0,55;1,38
43;158;90000;238,67;377,09;15,55;24,25;2;1;27-ago-yyyy;2,013;1;2;1855,17;1381,33;1;658464,21;6827784,79;LOTE_SEIS_;RUA_SILVESTRE_SERAFIM;NA;COSEVAL;34372788;ZR1 - 2;0,58;0,96;0,33;0,92;0,55;1,38
44;159;90000;239,16;376,31;15,55;24,2;2;1;27-ago-yyyy;2,013;1;2;1855,17;1396,88;1;658451,21;6827796,79;LOTE_SEIS_;RUA_SILVESTRE_SERAFIM;NA;COSEVAL;34372788;ZR1 - 2;0,58;0,96;0,33;0,92;0,55;1,4
45;160;200000;416,67;480;15;32;1;1;22-ago-yyyy;2,013;1;4;3034,49;873,03;1;658263,21;6827159,79;VERA_CRUZ;RUA_JOSÉ_CARLOS_DE_BONA_SAR;NA;CRIATIVE_IMÓVEI;34384484/99285715;ZR2 - 4;0,54;0,83;0,3;0,69;0,45;0,87
46;182;220000;330,83;665;19;37;1;1;22-ago-yyyy;2,013;1;4;1950,86;1352,07;1;658337,21;6827704,79;VERA_CRUZ;RUA_ELIZEU_BERNADINO_LOUREN;NA;DIETER_JUNKIS;34334347/9942015;ZR2 - 4;0,56;0,94;0,31;0,89;0,52;1,35
47;184;180000;800;225;15;15;2;1;22-ago-yyyy;2,013;1;2;2718,63;1071,66;1;658769,21;6827544,79;LOTE_SEIS_;RUA_NOEL_ROSA;NA;DUDA_IMÓVEIS;34687777/84477570;ZR1 - 2;0,63;0,91;0,39;0,83;0,57;1,07
48;185;180000;800;225;15;15;2;1;27-ago-yyyy;2,013;1;2;2655,07;1080,21;1;658760,21;6827551,79;LOTE_SEIS_;RUA_NOEL_ROSA;ESQ._CUSTÓDIA_DA_CONCEIÇ;DUDA_IMÓVEIS;34687777/84477570;ZR1 - 2;0,63;0,91;0,39;0,83;0,57;1,08
49;186;190000;487,18;390;15;26;2;1;27-ago-yyyy;2,013;1;2;1904,35;1369,45;1;658539,21;6827795,79;LOTE_SEIS_;RUA_NOEL_ROSA;NA;DUDA_IMÓVEIS;34687777/84477570;ZR1 - 2;0,59;0,96;0,35;0,92;0,57;1,37
50;195;75000;142,86;525;15;35;2;2;22-ago-yyyy;2,013;1;4;1928,32;1044,05;1;658605,21;6827475,79;VERA_CRUZ;RUA_SD_943-053;NA;DUDA_IMÓVEIS;34687777/84477570;ZR2 - 4;0,6;0,9;0,36;0,8;0,54;1,04
51;196;75000;153,06;490;14;35;1;2;22-ago-yyyy;2,013;1;4;1964,53;1054,33;1;658629,21;6827493,79;VERA_CRUZ;RUA_SD_943-053;NA;DUDA_IMÓVEIS;34687777;ZR2 - 4;0,6;0,9;0,37;0,81;0,54;1,05
52;197;75000;153,06;490;14;35;1;2;22-ago-yyyy;2,013;1;4;1996,81;1057,18;1;658639,21;6827499,79;VERA_CRUZ;RUA_SD_943-053;NA;DUDA_IMÓVEIS;34687777/84477570;ZR2 - 4;0,61;0,9;0,37;0,81;0,55;1,06
53;198;80000;95,01;842;41,5;28;2;2;22-ago-yyyy;2,013;1;4;2033,26;1047,81;1;658645,21;6827491,79;VERA_CRUZ;RUA_SD_943-053;NA;DUDA_IMÓVEIS;34687777/84477570;ZR2 - 4;0,61;0,9;0,37;0,81;0,55;1,05
54;199;200000;330,85;604,5;15,5;39;1;1;22-ago-yyyy;2,013;1;4;2306,76;1228;1;658295,21;6827548,79;VERA_CRUZ;RUA_JOÃO_PESSOA;NA;DUDA_IMÓVEIS;34687777/84477570;ZR2 - 4;0,55;0,91;0,3;0,83;0,5;1,23
55;205;200000;264,03;757,5;30;25,25;2;1;27-ago-yyyy;2,013;1;2;1869,54;1427,35;1;658501,21;6827844,79;LOTE_SEIS_;RUA_NOEL_ROSA;NA;IMOBILIÁRIA_CID;99722673;ZR1 - 2;0,58;0,97;0,34;0,94;0,57;1,43
56;208;200000;208,33;960;20;48;1;1;22-ago-yyyy;2,013;1;4;2213,13;1269,58;1;658282,21;6827588,79;VERA_CRUZ;RUA_ELIZEU_BERNADINO_LOUREN;ESQ._RUA_JOÃO_PESSOA;IMPÉRIO_IMOBILI;34373322;ZR2 - 4;0,55;0,92;0,3;0,84;0,5;1,27
57;209;130000;121,38;1071;30;35,7;2;3;23-ago-yyyy;2,013;1;4;2249,63;873,69;1;658045,21;6827140,79;VERA_CRUZ;RUA_MELEIRO;NA;JOADILSON_BRASI;96106846;ZR2 - 4;0,51;0,83;0,26;0,69;0,42;0,87
58;211;130000;350,88;370,5;13;28,5;2;1;22-ago-yyyy;2,013;1;4;3386,74;985,41;1;658309,21;6827288,79;VERA_CRUZ;RUA_SD_1794-036;NA;PRIMELAR_;99470644/30454566;ZR2 - 4;0,55;0,86;0,3;0,74;0,47;0,99
59;214;190000;557,66;340,71;13,85;24,6;2;1;27-ago-yyyy;2,013;1;2;2151,22;1190,45;1;658674,21;6827646,79;LOTE_SEIS_;RUA_NOEL_ROSA;NA;SALETTO;30457836/91627836;ZR1 - 2;0,61;0,93;0,37;0,86;0,57;1,19
60;215;190000;624,38;304,3;12,32;24,7;2;1;27-ago-yyyy;2,013;1;2;2223,21;1171,12;1;658691,21;6827630,79;LOTE_SEIS_;RUA_NOEL_ROSA;NA;SALETTO;30457836/91627836;ZR1 - 2;0,62;0,93;0,38;0,86;0,57;1,17
61;217;100000;216,75;461,36;19;24,28;1;3;11-set-yyyy;2,013;1;2;3007,37;878,08;1;659875;6825383;COMERCIÁRIO;RUA_CAÇADOR;NA;2B_IMÓVEIS;3443-3411 / 8849-;ZR1 -2;0,81;0,48;0,66;0,23;0,39;0,88
62;219;210000;482,75;435,01;14;28;1;3;12-set-yyyy;2,013;3;8;1871,18;457,82;1;657842;6825548;SANTA_BÁRBA;RUA_ALUÍZIO_DE_AZEVEDO;NA;DUDA_IMÓVEIS;3468-7777 / 8447-;ZM2 -8;0,47;0,51;0,22;0,26;0,24;0,46
63;220;180000;370,9;485,31;15;32,35;1;3;13-set-yyyy;2,013;1;2;2991,76;1088,49;1;658656;6825219;SANTA_BÁRBA;RUA_DUARTE_DA_COSTA;NA;ELIZANDRO_IMÓVE;9995-9625 / 3045-;ZR1-2;0,61;0,44;0,37;0,2;0,27;1,09
64;222;350000;429,5;814,91;28;29,1;1;3;13-set-yyyy;2,013;1;2;2988,67;1022,73;1;658572;6825266;SANTA_BÁRBA;RUA_DUARTE_DA_COSTA;NA;IMOVEST;9978-8730;ZR1-2;0,6;0,45;0,35;0,21;0,27;1,02
65;223;125000;324,93;384,7;13;25;1;3;12-set-yyyy;2,013;3;8;1634,62;269,61;1;657624;6825366;SANTA_BÁRBA;RUA_PRESIDENTE_ROOSEVELT;ESQUINA_COM_A_RUA_VICTOR;IMPÉRIO_IMOBILI;3437-3322;ZM2 -8;0,44;0,47;0,19;0,22;0,21;0,27
66;224;125000;538,86;231,97;13;25;1;3;12-set-yyyy;2,013;3;8;1643,51;283,28;1;657639;6825368;SANTA_BÁRBA;RUA_PRESIDENTE_ROOSEVELT;NA;IMPÉRIO_IMOBILI;3437-3322;ZM2 -8;0,44;0,47;0,19;0,22;0,21;0,28
67;225;125000;358,26;348,91;13;25;1;3;12-set-yyyy;2,013;3;8;1657,25;296,21;1;657655;6825377;SANTA_BÁRBA;RUA_PRESIDENTE_ROOSEVELT;ESQUINA_COM_A_RUA_ANTÔNI;IMPÉRIO_IMOBILI;3437-3322;ZM2 -8;0,44;0,48;0,2;0,23;0,21;0,3
68;226;340000;428,21;794,01;15;52,93;1;3;18-set-yyyy;2,013;2;8;7351,46;870,11;1;659183;6827357;CENTRO;RUA_ENGENHEIRO_FIUZA_DA_ROC;FUNDOS_COM_A_RUA_TIMÓTEO;IMPÉRIO_IMOBILI;3437-3322;ZR3-8;0,7;0,87;0,49;0,76;0,61;0,87
69;227;450000;1041,52;432,06;12;36,01;1;1;13-set-yyyy;2,013;1;2;3371,71;530,75;1;660141;6825764;COMERCIÁRIO;RUA_AGRÍCOLA_INDIO_GUIMARÃE;NA;NOVA_ALIANÇA;3045-7200;ZR1 -2;0,86;0,55;0,73;0,31;0,47;0,53
70;228;380000;880,3;431,67;16;26,98;1;2;18-set-yyyy;2,013;2;8;6985,15;877,92;1;659150;6827369;CENTRO;RUA_ENGENHEIRO_FIUZA_DA_ROC;NA;NOVA_ALIANÇA;3045-7200;ZR3-8;0,69;0,87;0,48;0,76;0,6;0,88
71;229;275000;626;439,3;15,5;30;1;3;13-set-yyyy;2,013;1;2;3545,89;388,8;1;659813;6825877;COMERCIÁRIO;RUA_RIACHUELO;NA;PAULÃO_IMÓVEIS;9994-1636;ZR1 -2;0,8;0,58;0,64;0,33;0,46;0,39
72;230;175000;370,05;472,91;15,5;30;2;1;13-set-yyyy;2,013;1;2;2237,08;194,74;1;660260,11;6826194,95;COMERCIÁRIO;RUA_ANTÔNIO_GABRIEL_MACHADO;NA;PEDRO_PAULO_PAV;9604-5433 / 3433-;ZR1 -2;0,88;0,64;0,77;0,41;0,56;0,19
73;231;190000;433,46;438,33;15;29,22;1;3;12-set-yyyy;2,013;1;2;2904,14;937,48;1;659823;6825325;COMERCIÁRIO;RUA_VEREADOR_CYRO_BACHA;NA;PILAR;3442-7000;ZR1 -2;0,8;0,47;0,65;0,22;0,37;0,94
74;232;170000;410,98;413,65;14;29,55;1;1;13-set-yyyy;2,013;1;2;3666,95;408,4;1;660042;6825867;COMERCIÁRIO;RUA_PEDRO_RODRIGUES_LOPES;NA;PREDIAL;3045-7899 / 9954-;ZR1 -2;0,84;0,57;0,71;0,33;0,48;0,41
75;233;270000;616,28;438,11;17;23;2;1;16-set-yyyy;2,013;2;8;2278,39;327,22;1;658459;6826645;CENTRO;RUA_ALFREDO_DEL_PRIDE_;*_ESQUINA_COM_A_RUA_EMÍL;PREDIAL;3045-7899 / 9954-;ZR3-8;0,58;0,73;0,33;0,53;0,42;0,33
76;234;165000;371,39;444,28;14;30;1;3;13-set-yyyy;2,013;1;2;3124,36;869,07;1;658617;6825435;SANTA_BÁRBA;RUA_MARECHAL_HERMES;NA;PREDIAL;3045-7899 / 9954-;ZR1-2;0,6;0,49;0,36;0,24;0,29;0,87
77;235;300000;367,03;817,38;47,5;17,21;1;3;12-set-yyyy;2,013;3;8;1570,35;365,4;1;657649;6825206;SANTA_BÁRBA;RUA_VISCONDE_DE_CAIRU;NA;PRIMÍCIA_IMÓVEI;3433-7279 / 9651-;ZM2 -8;0,44;0,44;0,19;0,19;0,19;0,37
78;236;165000;437,36;377,26;14;26,95;2;3;13-set-yyyy;2,013;1;2;3688,55;451,36;1;660068;6825828;COMERCIÁRIO;RUA_PEDRO_RODRIGUES_LOPES;NA;WM_IMÓVEIS;3433-6150 / 9984-;ZR1 -2;0,84;0,57;0,71;0,32;0,48;0,45
79;237;220000;519,04;423,86;16;29;1;2;13-set-yyyy;2,013;1;2;3352,29;597,63;1;659748;6825675;COMERCIÁRIO;RUA_JOÃO_MILIOLI;ESQUINA_COM_A_RUA_SD_054;PROPRIETÁRIO;9993-2036;ZR1 -2;0,79;0,54;0,63;0,29;0,42;0,6
80;238;120000;417,71;287,28;15;19,15;1;3;12-set-yyyy;2,013;3;8;1986,71;565,4;1;658038;6825629;SANTA_BÁRBA;RUA_JOSÉ_MILANEZ;NA;PROPRIETÁRIO;9993-4730;ZM2 -8;0,51;0,53;0,26;0,28;0,27;0,57
81;239;1050000;2243,45;468,03;25;37;1;3;12-set-yyyy;2,013;3;8;1571;8,62;1;657856;6826186;SANTA_BÁRBA;AVENIDA_CENTENÁRIO;NA;PROPRIETÁRIO;3626-3979 / 9986-;ZM1 - 8;0,48;0,64;0,23;0,41;0,3;0,01
82;240;1110000;1286,94;862,51;30;28,75;1;3;01-out-yyyy;2,013;4;16;2106,76;63,17;1;658449,76;6826223,37;CENTRO;RUA_PEDRO_BENETON;NA;FONTANA;NA;ZC2 -16;0,57;0,64;0,33;0,42;0,37;0,06
83;241;1700000;1324,67;1283,34;43,16;29,73;1;3;01-out-yyyy;2,013;4;16;2861,94;234,44;1;658634,52;6826090,84;CENTRO;RUA_PEDRO_BENETON;NA;FONTANA;NA;ZC2 -16;0,61;0,62;0,37;0,38;0,37;0,23
84;242;1700000;1396,03;1217,74;43,1;28,25;1;3;01-out-yyyy;2,013;4;16;3192,28;302,98;1;658648,49;6826023,74;CENTRO;RUA_PEDRO_BENETON;NA;FONTANA;NA;ZC2 -16;0,61;0,6;0,37;0,37;0,37;0,3
85;243;1100000;1164,02;945;30;31,5;1;3;01-out-yyyy;2,013;4;16;3498,22;437,49;1;658749,66;6825912,3;CENTRO;RUA_PEDRO_BENETON;NA;FONTANA;NA;ZC2 -16;0,62;0,58;0,39;0,34;0,36;0,44
86;244;1250000;1465,18;853,14;29,83;28,6;1;3;01-out-yyyy;2,013;4;16;2966,48;620,18;1;658880,14;6825765,33;CENTRO;RUA_ALMIRANTE_BARROSO;NA;FONTANA;NA;ZC2 -16;0,65;0,55;0,42;0,31;0,36;0,62
87;245;1400000;1541,32;908,31;28,32;32,07;1;3;01-out-yyyy;2,013;4;16;3246,01;630,98;1;659033,84;6825807,04;CENTRO;RUA_ALMIRANTE_BARROSO;NA;FONTANA;NA;ZC2 -16;0,67;0,56;0,45;0,32;0,38;0,63
